"";"LFWA64TTUSM647S";"PAYEMS";"ratio"
"2014-08-01";203179242,375273;174090000;0,856829654273712
"2014-09-01";203173424,9491;174478750;0,858767577716974
"2014-10-01";203232942,018443;174801250;0,860102935399799
"2014-11-01";203359125,913491;175158750;0,861327217124805
"2014-12-01";203346056,409563;175495000;0,863036161598985
"2015-01-01";203947217,040849;175761250;0,861797736444702
"2015-02-01";204015787,332421;176071250;0,863027574003925
"2015-03-01";204001077,547962;176167500;0,863561615053636
"2015-04-01";204042404,366765;176542500;0,86522456225651
"2015-05-01";204190545,399704;176941250;0,866549671306459
"2015-06-01";204292602,923635;177153750;0,867156947754102
"2015-07-01";204363823,542873;177520000;0,868646891228077
"2015-08-01";204484298,316079;177672500;0,86888089434312
"2015-09-01";204474741,904612;177838750;0,869734561557545
"2015-10-01";204557378,1868;178262500;0,871454755531782
"2015-11-01";204650008,997611;178556250;0,872495686047511
"2015-12-01";204669488,618908;178906250;0,874122719547715
"2016-01-01";205170189,470332;179018750;0,872537820733876
"2016-02-01";205223551,63906;179308750;0,873724036875465
"2016-03-01";205243009,883796;179601250;0,875066342584267
"2016-04-01";205326252,874406;179865000;0,875996115849929
"2016-05-01";205384304,679569;179883750;0,875839808113119
"2016-06-01";205481089,77915;180236250;0,877142758945443
"2016-07-01";205590559,901738;180656250;0,878718605009611
"2016-08-01";205642838,218912;180825000;0,879315815547669
"2016-09-01";205685336,447511;181162500;0,880774989257589
"2016-10-01";205795473,32395;181322500;0,88108109022677
"2016-11-01";205849694,930638;181535000;0,881881316662476
"2016-12-01";205915940,609869;181803750;0,882902748867062
"2017-01-01";205380082,024522;182118750;0,886740078223629
"2017-02-01";205420465,686118;182295000;0,887423750068537
"2017-03-01";205400577,338527;182453750;0,888282556768535
"2017-04-01";205348220,181781;182720000;0,88980561817507
"2017-05-01";205397331,977089;182880000;0,890371838035361
"2017-06-01";205541231,454495;183166250;0,891141153061309
"2017-07-01";205637118,817369;183421250;0,891965667749413
"2017-08-01";205645409,89429;183655000;0,893066371354489
"2017-09-01";205639273,702585;183677500;0,893202434986479
"2017-10-01";205662184,072533;184002500;0,894683195307825
"2017-11-01";205708565,433734;184277500;0,895818312725351
"2017-12-01";205820156,38296;184495000;0,8963893684772
"2018-01-01";206368589,244753;184708750;0,895042945614827
"2018-02-01";206390570,910005;185121250;0,896946256719842
"2018-03-01";206394087,779731;185348750;0,898033233383162
